Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,HouseStyle,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,LowQualFinSF,Fireplaces,FireplaceQu,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
15,20,RL,NA,10920,IR1,NAmes,1Story,1960,1960,1253,0,0,1,Fa,0,5,2008,WD,Normal,157000
16,45,RM,51,6120,Reg,BrkSide,1.5Unf,1929,2001,854,0,0,0,NA,0,7,2007,WD,Normal,132000
17,20,RL,NA,11241,IR1,NAmes,1Story,1970,1970,1004,0,0,1,TA,700,3,2010,WD,Normal,149000
18,90,RL,72,10791,Reg,Sawyer,1Story,1967,1967,1296,0,0,0,NA,500,10,2006,WD,Normal,90000
19,20,RL,66,13695,Reg,SawyerW,1Story,2004,2004,1114,0,0,0,NA,0,6,2008,WD,Normal,159000
20,20,RL,70,7560,Reg,NAmes,1Story,1958,1965,1339,0,0,0,NA,0,5,2009,COD,Abnorml,139000
21,60,RL,101,14215,IR1,NridgHt,2Story,2005,2006,1158,1218,0,1,Gd,0,11,2006,New,Partial,325300
22,45,RM,57,7449,Reg,IDOTRR,1.5Unf,1930,1950,1108,0,0,1,Gd,0,6,2007,WD,Normal,139400
23,20,RL,75,9742,Reg,CollgCr,1Story,2002,2002,1795,0,0,1,Gd,0,9,2008,WD,Normal,230000
24,120,RM,44,4224,Reg,MeadowV,1Story,1976,1976,1060,0,0,1,TA,0,6,2007,WD,Normal,129900
25,20,RL,NA,8246,IR1,Sawyer,1Story,1968,2001,1060,0,0,1,TA,0,5,2010,WD,Normal,154000
26,20,RL,110,14230,Reg,NridgHt,1Story,2007,2007,1600,0,0,1,Gd,0,7,2009,WD,Normal,256300
27,20,RL,60,7200,Reg,NAmes,1Story,1951,2000,900,0,0,0,NA,0,5,2010,WD,Normal,134800
28,20,RL,98,11478,Reg,NridgHt,1Story,2007,2008,1704,0,0,1,Gd,0,5,2010,WD,Normal,306000
29,20,RL,47,16321,IR1,NAmes,1Story,1957,1997,1600,0,0,2,Gd,0,12,2006,WD,Normal,207500
30,30,RM,60,6324,IR1,BrkSide,1Story,1927,1950,520,0,0,0,NA,0,5,2008,WD,Normal,68500
31,70,C (all),50,8500,Reg,IDOTRR,2Story,1920,1950,649,668,0,0,NA,0,7,2008,WD,Normal,40000
32,20,RL,NA,8544,IR1,Sawyer,1Story,1966,2006,1228,0,0,0,NA,0,6,2008,WD,Normal,149350
33,20,RL,85,11049,Reg,CollgCr,1Story,2007,2007,1234,0,0,0,NA,0,1,2008,WD,Normal,179900
34,20,RL,70,10552,IR1,NAmes,1Story,1959,1959,1700,0,0,1,Gd,0,4,2010,WD,Normal,165500
35,120,RL,60,7313,Reg,NridgHt,1Story,2005,2005,1561,0,0,1,Gd,0,8,2007,WD,Normal,277500
36,60,RL,108,13418,Reg,NridgHt,2Story,2004,2005,1132,1320,0,1,Gd,0,9,2006,WD,Normal,309000
37,20,RL,112,10859,Reg,CollgCr,1Story,1994,1995,1097,0,0,0,NA,0,6,2009,WD,Normal,145000
38,20,RL,74,8532,Reg,NAmes,1Story,1954,1990,1297,0,0,1,TA,0,10,2009,WD,Normal,153000
39,20,RL,68,7922,Reg,NAmes,1Story,1953,2007,1057,0,0,0,NA,0,1,2010,WD,Abnorml,109000
40,90,RL,65,6040,Reg,Edwards,1Story,1955,1955,1152,0,0,0,NA,0,6,2008,WD,AdjLand,82000
41,20,RL,84,8658,Reg,NAmes,1Story,1965,1965,1324,0,0,1,TA,0,12,2006,WD,Abnorml,160000
42,20,RL,115,16905,Reg,Timber,1Story,1959,1959,1328,0,0,2,Gd,0,7,2007,WD,Normal,170000
43,85,RL,NA,9180,IR1,SawyerW,SFoyer,1983,1983,884,0,0,0,NA,0,12,2007,WD,Normal,144000
44,20,RL,NA,9200,IR1,CollgCr,1Story,1975,1980,938,0,0,0,NA,0,7,2008,WD,Normal,130250
45,20,RL,70,7945,Reg,NAmes,1Story,1959,1959,1150,0,0,0,NA,0,5,2006,WD,Normal,141000
46,120,RL,61,7658,Reg,NridgHt,1Story,2005,2005,1752,0,0,1,Gd,0,2,2010,WD,Normal,319900
47,50,RL,48,12822,IR1,Mitchel,1.5Fin,2003,2003,1518,631,0,1,Ex,0,8,2009,WD,Abnorml,239686
48,20,FV,84,11096,Reg,Somerst,1Story,2006,2006,1656,0,0,0,NA,0,7,2007,WD,Normal,249700
49,190,RM,33,4456,Reg,OldTown,2Story,1920,2008,736,716,0,0,NA,0,6,2009,New,Partial,113000
50,20,RL,66,7742,Reg,Sawyer,1Story,1966,1966,955,0,0,0,NA,0,1,2007,WD,Normal,127000
51,60,RL,NA,13869,IR2,Gilbert,2Story,1997,1997,794,676,0,0,NA,0,7,2007,WD,Normal,177000
52,50,RM,52,6240,Reg,BrkSide,1.5Fin,1934,1950,816,0,360,1,Gd,400,9,2006,WD,Normal,114500
53,90,RM,110,8472,IR2,IDOTRR,1Story,1963,1963,816,0,0,0,NA,0,5,2010,WD,Normal,110000
54,20,RL,68,50271,IR1,Veenker,1Story,1981,1987,1842,0,0,1,Gd,0,11,2006,WD,Normal,385000
55,80,RL,60,7134,Reg,NAmes,SLvl,1955,1955,1360,0,0,1,TA,0,2,2007,WD,Normal,130000
56,20,RL,100,10175,IR1,NAmes,1Story,1964,1964,1425,0,0,1,Gd,0,7,2008,WD,Normal,180500
57,160,FV,24,2645,Reg,Somerst,2Story,1999,2000,983,756,0,0,NA,0,8,2009,WD,Abnorml,172500
58,60,RL,89,11645,IR1,CollgCr,2Story,2004,2004,860,860,0,0,NA,0,8,2006,WD,Normal,196500
59,60,RL,66,13682,IR2,StoneBr,2Story,2006,2006,1426,1519,0,1,Gd,0,10,2006,New,Partial,438780
60,20,RL,60,7200,Reg,CollgCr,1Story,1972,1972,780,0,0,0,NA,0,1,2008,WD,Normal,124900
61,20,RL,63,13072,Reg,SawyerW,1Story,2004,2004,1158,0,0,0,NA,0,5,2006,New,Partial,158000
62,75,RM,60,7200,Reg,IDOTRR,2.5Unf,1920,1996,581,530,0,0,NA,0,3,2007,WD,Normal,101000
63,120,RL,44,6442,IR1,NridgHt,1Story,2006,2006,1370,0,0,1,Gd,0,10,2007,WD,Normal,202500
64,70,RM,50,10300,IR1,OldTown,2Story,1921,1950,902,808,0,0,NA,0,4,2010,WD,Normal,140000
65,60,RL,NA,9375,Reg,CollgCr,2Story,1997,1998,1057,977,0,0,NA,0,2,2009,WD,Normal,219500
66,60,RL,76,9591,Reg,NridgHt,2Story,2004,2005,1143,1330,0,1,Gd,0,10,2007,WD,Normal,317000
67,20,RL,NA,19900,Reg,NAmes,1Story,1970,1989,2207,0,0,1,Gd,0,7,2010,WD,Normal,180000
68,20,RL,72,10665,IR1,CollgCr,1Story,2003,2003,1479,0,0,0,NA,0,6,2007,WD,Normal,226000
69,30,RM,47,4608,Reg,OldTown,1Story,1945,1950,747,0,0,0,NA,0,6,2010,WD,Normal,80000
70,50,RL,81,15593,Reg,ClearCr,1.5Fin,1953,1953,1304,983,0,1,TA,0,7,2006,WD,Normal,225000
71,20,RL,95,13651,IR1,NAmes,1Story,1973,1973,2223,0,0,2,Gd,0,2,2007,WD,Normal,244000
72,20,RL,69,7599,Reg,Mitchel,1Story,1982,2006,845,0,0,0,NA,0,6,2007,WD,Normal,129500
73,60,RL,74,10141,IR1,Gilbert,2Story,1998,1998,885,833,0,1,TA,0,12,2009,WD,Normal,185000
74,20,RL,85,10200,Reg,NAmes,1Story,1954,2003,1086,0,0,0,NA,0,5,2010,WD,Normal,144900
75,50,RM,60,5790,Reg,OldTown,2Story,1915,1950,840,765,0,0,NA,0,5,2010,WD,Normal,107400
76,180,RM,21,1596,Reg,MeadowV,SLvl,1973,1973,526,462,0,0,NA,0,11,2009,WD,Normal,91000
77,20,RL,NA,8475,IR1,NAmes,1Story,1956,1956,952,0,0,0,NA,0,4,2008,WD,Normal,135750
78,50,RM,50,8635,Reg,BrkSide,1.5Fin,1948,2001,1072,213,0,0,NA,0,1,2008,WD,Normal,127000
79,90,RL,72,10778,Reg,Sawyer,1Story,1968,1968,1768,0,0,0,NA,0,4,2010,WD,Normal,136500
80,50,RM,60,10440,Reg,OldTown,2Story,1910,1981,682,548,0,0,NA,0,5,2009,WD,Normal,110000
81,60,RL,100,13000,Reg,NAmes,2Story,1968,1968,1182,960,0,1,Gd,0,6,2009,WD,Normal,193500
82,120,RM,32,4500,Reg,Mitchel,1Story,1998,1998,1337,0,0,0,NA,0,3,2006,WD,Normal,153500
83,20,RL,78,10206,Reg,Somerst,1Story,2007,2007,1563,0,0,1,Gd,0,10,2008,WD,Normal,245000
84,20,RL,80,8892,IR1,NAmes,1Story,1960,1960,1065,0,0,0,NA,0,7,2007,COD,Normal,126500
85,80,RL,NA,8530,IR1,Gilbert,SLvl,1995,1996,804,670,0,1,TA,700,5,2009,WD,Normal,168500
86,60,RL,121,16059,Reg,NoRidge,2Story,1991,1992,1301,1116,0,1,TA,0,4,2006,WD,Normal,260000
87,60,RL,122,11911,IR2,Gilbert,2Story,2005,2005,684,876,0,1,Gd,0,3,2009,WD,Normal,174000
88,160,FV,40,3951,Reg,Somerst,2Story,2009,2009,612,612,0,0,NA,0,6,2009,New,Partial,164500
89,50,C (all),105,8470,IR1,IDOTRR,1.5Fin,1915,1982,1013,0,513,0,NA,0,10,2009,ConLD,Abnorml,85000
90,20,RL,60,8070,Reg,CollgCr,1Story,1994,1995,990,0,0,0,NA,0,8,2007,WD,Normal,123600
91,20,RL,60,7200,Reg,NAmes,1Story,1950,1950,1040,0,0,0,NA,0,7,2006,WD,Normal,109900
92,20,RL,85,8500,Reg,NAmes,1Story,1961,1961,1235,0,0,0,NA,0,12,2006,WD,Abnorml,98600
93,30,RL,80,13360,IR1,Crawfor,1Story,1921,2006,964,0,0,0,NA,0,8,2009,WD,Normal,163500
94,190,C (all),60,7200,Reg,OldTown,2.5Unf,1910,1998,1260,1031,0,1,Gd,0,11,2007,WD,Normal,133900
95,60,RL,69,9337,IR1,CollgCr,2Story,1997,1997,905,881,0,0,NA,0,5,2007,WD,Normal,204750
96,60,RL,NA,9765,IR2,Gilbert,2Story,1993,1993,680,790,0,1,TA,480,4,2009,WD,Normal,185000
97,20,RL,78,10264,IR1,CollgCr,1Story,1999,1999,1588,0,0,0,NA,0,8,2006,WD,Normal,214000
98,20,RL,73,10921,Reg,Edwards,1Story,1965,1965,960,0,0,0,NA,0,5,2007,WD,Normal,94750
99,30,RL,85,10625,Reg,Edwards,1Story,1920,1950,835,0,0,0,NA,400,5,2010,COD,Abnorml,83000
100,20,RL,77,9320,IR1,NAmes,1Story,1959,1959,1225,0,0,0,NA,400,1,2010,WD,Normal,128950
101,20,RL,NA,10603,IR1,NWAmes,1Story,1977,2001,1610,0,0,2,TA,0,2,2010,WD,Normal,205000
102,60,RL,77,9206,Reg,SawyerW,2Story,1985,1985,977,755,0,1,TA,0,6,2010,WD,Normal,178000
103,90,RL,64,7018,Reg,SawyerW,1Story,1979,1979,1535,0,0,0,NA,0,6,2009,WD,Alloca,118964
104,20,RL,94,10402,IR1,CollgCr,1Story,2009,2009,1226,0,0,0,NA,0,5,2010,WD,Normal,198900
105,50,RM,NA,7758,Reg,IDOTRR,1.5Fin,1931,1950,1226,592,0,2,TA,0,6,2007,WD,Normal,169500
106,60,FV,75,9375,Reg,Somerst,2Story,2003,2004,1053,939,0,1,Gd,0,8,2008,WD,Normal,250000
107,30,RM,60,10800,Reg,OldTown,1Story,1885,1995,1047,0,0,0,NA,450,8,2007,WD,Normal,100000
108,20,RM,50,6000,Reg,OldTown,1Story,1948,1950,789,0,0,0,NA,0,4,2008,WD,Partial,115000
109,50,RM,85,8500,Reg,IDOTRR,1.5Fin,1919,2005,997,520,0,0,NA,0,8,2007,WD,Normal,115000
110,20,RL,105,11751,IR1,NWAmes,1Story,1977,1977,1844,0,0,1,TA,0,1,2010,COD,Normal,190000
111,50,RL,75,9525,Reg,Edwards,1.5Fin,1954,1972,1216,639,0,0,NA,0,10,2006,WD,Normal,136900
112,80,RL,NA,7750,IR1,Gilbert,SLvl,2000,2000,774,656,0,1,TA,0,4,2010,WD,Normal,180000
113,60,RL,77,9965,Reg,CollgCr,2Story,2007,2007,1282,1414,0,1,Gd,0,10,2007,New,Partial,383970
114,20,RL,NA,21000,Reg,Crawfor,1Story,1953,1953,2259,0,0,2,Gd,0,10,2007,COD,Abnorml,217000
115,70,RL,61,7259,IR1,Crawfor,2Story,1945,2002,1436,884,0,1,TA,0,7,2007,WD,Normal,259500
116,160,FV,34,3230,Reg,Somerst,2Story,1999,1999,729,729,0,1,Fa,0,6,2007,WD,Normal,176000
117,20,RL,NA,11616,Reg,Sawyer,1Story,1962,1962,1092,0,0,1,Po,0,9,2009,WD,Normal,139000
118,20,RL,74,8536,Reg,Edwards,1Story,2006,2007,1125,0,0,0,NA,0,4,2007,New,Partial,155000
119,60,RL,90,12376,Reg,SawyerW,2Story,1990,1990,1699,1523,0,2,TA,0,5,2010,WD,Normal,320000
120,60,RL,65,8461,Reg,CollgCr,2Story,2005,2006,728,728,0,1,Gd,0,7,2006,New,Partial,163990
121,80,RL,NA,21453,IR1,ClearCr,SLvl,1969,1969,988,0,0,2,TA,0,10,2006,WD,Normal,180000
122,50,RM,50,6060,Reg,IDOTRR,1.5Fin,1939,1950,772,351,0,0,NA,0,6,2007,WD,Normal,100000
123,20,RL,75,9464,Reg,NAmes,1Story,1958,1958,1080,0,0,0,NA,0,6,2008,WD,Normal,136000
124,120,RL,55,7892,Reg,SawyerW,1Story,1993,1993,1199,0,0,0,NA,0,3,2008,WD,Normal,153900
125,20,RL,48,17043,IR1,NWAmes,1Story,1979,1998,1586,0,0,1,TA,0,1,2009,WD,Normal,181000
126,190,RM,60,6780,Reg,IDOTRR,1.5Fin,1935,1982,520,0,234,0,NA,0,6,2006,WD,Normal,84500
127,120,RL,NA,4928,IR1,NPkVill,1Story,1976,1976,958,0,0,1,TA,0,2,2007,WD,Normal,128000
128,45,RM,55,4388,IR1,OldTown,1.5Unf,1930,1950,840,0,0,1,TA,0,6,2007,WD,Normal,87000
129,60,RL,69,7590,Reg,NAmes,2Story,1966,1966,660,688,0,1,Fa,0,7,2006,WD,Normal,155000
130,20,RL,69,8973,Reg,NAmes,1Story,1958,1991,1053,0,0,0,NA,0,7,2006,WD,Abnorml,150000
131,60,RL,88,14200,Reg,NAmes,2Story,1966,1966,1216,941,0,2,Gd,0,5,2006,WD,Normal,226000
132,60,RL,NA,12224,IR1,Gilbert,2Story,2000,2000,1022,1032,0,1,TA,0,7,2009,WD,Normal,244000
133,20,RL,75,7388,Reg,NAmes,1Story,1959,2002,1327,0,0,0,NA,0,7,2007,WD,Normal,150750
134,20,RL,NA,6853,IR1,Timber,1Story,2001,2002,1296,0,0,0,NA,0,6,2009,WD,Normal,220000
135,20,RL,78,10335,IR1,Sawyer,1Story,1968,1993,1721,0,0,1,TA,0,7,2006,WD,Normal,180000
136,20,RL,80,10400,Reg,NWAmes,1Story,1970,1970,1682,0,0,1,Gd,0,5,2008,WD,Normal,174000
137,20,RL,NA,10355,IR1,NAmes,1Story,1967,1967,1214,0,0,1,Fa,0,7,2007,WD,Normal,143000
138,90,RL,82,11070,Reg,Mitchel,1Story,1988,1989,1959,0,0,0,NA,0,7,2006,WD,Family,171000
139,60,RL,73,9066,IR1,CollgCr,2Story,1999,2000,1004,848,0,2,TA,0,12,2008,WD,Normal,230000
140,60,RL,65,15426,IR1,CollgCr,2Story,1997,1997,928,836,0,0,NA,0,8,2009,WD,Normal,231500
141,20,RL,70,10500,Reg,NAmes,1Story,1971,1971,864,0,0,1,Po,0,4,2010,ConLI,Normal,115000
142,20,RL,78,11645,Reg,CollgCr,1Story,2005,2005,1734,0,0,0,NA,0,1,2006,WD,Normal,260000
143,50,RL,71,8520,Reg,NAmes,1.5Fin,1952,1952,910,475,0,0,NA,0,6,2010,WD,Normal,166000
144,20,RL,78,10335,IR1,CollgCr,1Story,1999,1999,1501,0,0,0,NA,0,6,2009,WD,Normal,204000
145,90,RM,70,9100,Reg,Sawyer,1Story,1963,1963,1728,0,0,0,NA,0,11,2006,ConLI,Abnorml,125000
146,160,RM,24,2522,Reg,Edwards,2Story,2004,2006,970,739,0,0,NA,0,4,2006,WD,Normal,130000
147,30,RM,51,6120,Reg,BrkSide,1Story,1931,1993,875,0,0,0,NA,0,11,2009,WD,Normal,105000
148,60,RL,NA,9505,IR1,Gilbert,2Story,2001,2001,884,1151,0,1,Gd,0,5,2010,WD,Normal,222500
149,20,RL,63,7500,Reg,SawyerW,1Story,2004,2005,1080,0,0,0,NA,0,4,2008,WD,Normal,141000
150,50,RM,NA,6240,Reg,BrkSide,1.5Fin,1936,1950,896,448,0,0,NA,0,4,2006,WD,Normal,115000
151,20,RL,120,10356,Reg,CollgCr,1Story,1975,1975,969,0,0,0,NA,0,1,2007,WD,Normal,122000
152,20,RL,107,13891,Reg,NridgHt,1Story,2007,2008,1710,0,0,1,Gd,0,1,2008,New,Partial,372402
153,60,RL,NA,14803,IR1,NWAmes,2Story,1971,1971,1097,896,0,1,Gd,0,6,2006,WD,Normal,190000
154,20,RL,NA,13500,Reg,ClearCr,1Story,1960,1975,1252,0,0,1,Gd,0,3,2008,WD,Normal,235000
155,30,RM,84,11340,Reg,OldTown,1Story,1923,1950,1200,0,0,0,NA,0,3,2006,WD,Family,125000
156,50,RL,60,9600,Reg,Edwards,1.5Fin,1924,1950,572,524,0,0,NA,0,4,2008,WD,Normal,79000
157,20,RL,60,7200,Reg,NAmes,1Story,1950,1950,1040,0,0,0,NA,0,6,2006,WD,Normal,109500
158,60,RL,92,12003,Reg,Timber,2Story,2009,2010,774,1194,0,1,Gd,0,5,2010,New,Partial,269500
159,60,FV,100,12552,Reg,Somerst,2Story,2004,2005,991,956,0,1,Gd,0,5,2010,WD,Normal,254900
160,60,RL,134,19378,IR1,Gilbert,2Story,2005,2006,1392,1070,0,1,Gd,0,3,2006,New,Partial,320000
161,20,RL,NA,11120,IR1,Veenker,1Story,1984,1984,1232,0,0,0,NA,0,6,2008,WD,Normal,162500
162,60,RL,110,13688,IR1,NridgHt,2Story,2003,2004,1572,1096,0,2,Gd,0,3,2008,WD,Normal,412500
163,20,RL,95,12182,Reg,NridgHt,1Story,2005,2005,1541,0,0,1,Gd,0,5,2010,New,Partial,220000
164,45,RL,55,5500,Reg,OldTown,1.5Unf,1956,1956,882,0,0,0,NA,0,4,2007,WD,Normal,103200
165,40,RM,40,5400,Reg,OldTown,1Story,1926,2004,1149,467,0,0,NA,0,10,2007,WD,Normal,152000
166,190,RL,62,10106,Reg,Edwards,1.5Fin,1940,1999,808,547,0,0,NA,0,9,2008,WD,Normal,127500
167,20,RL,NA,10708,IR1,ClearCr,1Story,1955,1993,1867,0,0,3,Gd,0,11,2009,COD,Normal,190000
168,60,RL,86,10562,Reg,NridgHt,2Story,2007,2007,1610,551,0,1,Gd,0,11,2007,New,Partial,325624
169,60,RL,62,8244,IR1,Gilbert,2Story,2004,2004,840,880,0,1,Gd,0,5,2007,WD,Normal,183500
170,20,RL,NA,16669,IR1,Timber,1Story,1981,1981,1707,0,0,1,TA,0,1,2006,WD,Normal,228000
171,50,RM,NA,12358,IR1,OldTown,1.5Fin,1941,1950,854,0,528,0,NA,0,5,2007,WD,Normal,128500
172,20,RL,141,31770,IR1,NAmes,1Story,1960,1960,1656,0,0,2,Gd,0,5,2010,WD,Normal,215000
173,160,RL,44,5306,IR1,StoneBr,2Story,1987,1987,1064,703,0,1,TA,0,6,2006,WD,Normal,239000
174,20,RL,80,10197,IR1,NAmes,1Story,1961,1961,1362,0,0,1,TA,0,6,2008,COD,Normal,163000
175,20,RL,47,12416,IR1,Timber,1Story,1986,1986,1651,0,0,1,TA,0,11,2008,WD,Normal,184000
176,20,RL,84,12615,Reg,Edwards,1Story,1950,2001,2158,0,0,1,Gd,0,6,2007,WD,Normal,243000
177,60,RL,97,10029,IR1,ClearCr,2Story,1988,1989,1164,896,0,1,TA,0,9,2007,WD,Normal,211000
178,50,RL,NA,13650,Reg,Sawyer,1.5Fin,1958,1958,1252,668,0,1,Gd,0,7,2006,WD,Normal,172500
179,20,RL,63,17423,IR1,StoneBr,1Story,2008,2009,2234,0,0,1,Gd,0,7,2009,New,Partial,501837
180,30,RM,60,8520,Reg,OldTown,1Story,1923,2006,968,0,0,0,NA,0,7,2007,WD,Normal,100000
181,160,FV,NA,2117,Reg,Somerst,2Story,2000,2000,769,756,0,1,TA,0,6,2007,WD,Normal,177000
182,70,RL,54,7588,Reg,Crawfor,2Story,1920,1950,901,901,0,1,Gd,0,7,2006,WD,Normal,200100
183,20,RL,60,9060,Reg,Edwards,1Story,1957,2006,1340,0,0,1,Gd,0,6,2007,WD,Normal,120000
184,50,RM,63,11426,Reg,OldTown,1.5Fin,2003,2003,1362,720,0,0,NA,0,6,2008,WD,Normal,200000
185,50,RL,92,7438,IR1,BrkSide,1.5Fin,1908,1991,936,316,0,0,NA,0,6,2006,WD,Normal,127000
186,75,RM,90,22950,IR2,OldTown,2.5Fin,1892,1993,1518,1518,572,2,TA,0,6,2006,WD,Normal,475000
187,80,RL,NA,9947,IR1,Mitchel,SLvl,1990,1991,1217,0,0,0,NA,0,6,2009,WD,Normal,173000
188,50,RL,60,10410,Reg,OldTown,1.5Fin,1916,1987,808,704,144,0,NA,0,8,2009,WD,Normal,135000
189,90,RL,64,7018,Reg,SawyerW,SFoyer,1979,1979,1224,0,0,2,TA,0,6,2009,WD,Alloca,153337
190,120,RL,41,4923,Reg,StoneBr,1Story,2001,2002,1593,0,0,1,Gd,0,8,2008,WD,Normal,286000
191,70,RL,70,10570,Reg,Crawfor,2Story,1932,1994,1549,1178,0,2,TA,0,12,2007,WD,Normal,315000
192,60,RL,NA,7472,IR1,NAmes,2Story,1972,2004,725,754,0,0,NA,0,6,2007,WD,Normal,184000
193,20,RL,68,9017,IR1,CollgCr,1Story,1999,1999,1431,0,0,0,NA,0,9,2009,WD,Normal,192000
194,160,RM,24,2522,Reg,Edwards,2Story,2004,2004,970,739,0,0,NA,0,5,2006,WD,Normal,130000
195,20,RL,60,7180,IR1,CollgCr,1Story,1972,1972,864,0,0,0,NA,0,5,2008,WD,Normal,127000
196,160,RL,24,2280,Reg,NPkVill,2Story,1976,1976,855,601,0,1,TA,0,7,2009,WD,Normal,148500
197,20,RL,79,9416,Reg,Somerst,1Story,2007,2007,1726,0,0,1,Gd,0,9,2007,New,Partial,311872
198,75,RL,174,25419,Reg,NAmes,2Story,1918,1990,1360,1360,392,1,Ex,0,3,2006,WD,Abnorml,235000
199,75,RM,92,5520,Reg,OldTown,2.5Fin,1912,1950,929,929,371,0,NA,0,7,2009,WD,Abnorml,104000
200,20,RL,76,9591,Reg,NridgHt,1Story,2004,2005,1713,0,0,1,Gd,0,1,2009,WD,Normal,274900
201,20,RM,80,8546,Reg,Edwards,1Story,2003,2004,1121,0,0,0,NA,0,3,2010,WD,Normal,140000
202,20,RL,75,10125,Reg,Mitchel,1Story,1977,1977,1279,0,0,2,Fa,0,2,2008,WD,Normal,171500
203,50,RL,50,7000,Reg,OldTown,1.5Fin,1924,1950,865,445,0,0,NA,0,5,2006,COD,Normal,112000
204,120,RM,NA,4438,Reg,CollgCr,1Story,2004,2004,848,0,0,1,Gd,0,1,2008,WD,Normal,149000
205,50,RM,50,3500,Reg,OldTown,1.5Fin,1947,1950,720,564,0,0,NA,0,4,2009,WD,Normal,110000
206,20,RL,99,11851,Reg,Gilbert,1Story,1990,1990,1442,0,0,0,NA,0,5,2009,WD,Normal,180500
207,20,RL,40,13673,IR1,Sawyer,1Story,1962,1962,1696,0,0,1,TA,0,3,2007,WD,Normal,143900
208,20,RL,NA,12493,IR1,NAmes,1Story,1960,1960,1100,0,0,1,Po,0,4,2008,WD,Normal,141000
209,60,RL,NA,14364,IR1,SawyerW,2Story,1988,1989,1180,882,0,1,Gd,0,4,2007,WD,Normal,277000
210,20,RL,75,8250,Reg,NAmes,1Story,1964,1964,1092,0,0,0,NA,0,7,2008,WD,Normal,145000
211,30,RL,67,5604,Reg,Edwards,1Story,1925,1950,864,0,0,0,NA,0,4,2008,WD,Normal,98000
212,20,RL,83,10420,Reg,Edwards,1Story,2009,2009,1212,0,0,0,NA,0,3,2010,WD,Normal,186000
213,60,FV,72,8640,Reg,Somerst,2Story,2009,2009,932,920,0,1,TA,0,7,2009,New,Partial,252678
214,20,RL,43,13568,IR2,CollgCr,1Story,1995,1995,990,0,0,0,NA,0,7,2006,WD,Normal,156000
215,60,RL,NA,10900,IR1,CollgCr,2Story,1977,1977,689,703,0,0,NA,450,3,2010,WD,Normal,161750
216,20,RL,72,10011,IR1,NAmes,1Story,1957,1996,1236,0,0,1,Fa,0,5,2006,WD,Normal,134450
217,20,RL,65,8450,Reg,CollgCr,1Story,2004,2004,1436,0,0,0,NA,0,4,2008,WD,Normal,210000
218,70,RM,57,9906,Reg,OldTown,2Story,1925,1950,810,518,0,0,NA,0,9,2006,WD,Family,107000
219,50,RL,NA,15660,IR1,Crawfor,1.5Fin,1939,2006,1137,817,0,2,TA,0,5,2008,WD,Normal,311500
220,120,RL,43,3010,Reg,Blmngtn,1Story,2005,2006,1248,0,0,0,NA,0,3,2006,New,Partial,167240
221,20,RL,73,8990,IR1,CollgCr,1Story,2006,2006,1498,0,0,0,NA,0,4,2006,New,Partial,204900
222,60,RL,NA,8068,IR1,Gilbert,2Story,2002,2002,1010,1257,0,1,TA,0,12,2009,ConLI,Normal,200000
223,60,RL,85,11475,Reg,NWAmes,2Story,1975,1975,811,741,0,1,TA,0,2,2006,WD,Normal,179900
